Total Pass-Ups By Month Per Year

In the Year 2022
Month,Pass-Ups
9,1493
10,1333
11,950
12,521
6,235
5,206
8,203
7,199
3,78
2,72
4,68
1,18

In the Year 2021
Month,Pass-Ups
11,115
9,96
10,80
12,73
8,28
4,24
5,20
7,18
3,14
6,11
2,9
1,5

In the Year 2020
Month,Pass-Ups
1,1945
2,930
3,498
7,58
6,35
5,33
10,20
9,20
4,14
8,12
11,4
12,3

In the Year 2019
Month,Pass-Ups
9,3316
10,3176
1,2030
2,2011
11,1805
3,1227
4,955
12,829
5,788
6,679
8,496
7,470

In the Year 2018
Month,Pass-Ups
9,3095
10,2972
11,2145
1,1577
3,1494
2,1161
5,938
4,927
12,853
6,716
7,457
8,422

In the Year 2017
Month,Pass-Ups
9,2874
10,2125
11,1904
1,1604
2,1289
3,1103
4,801
5,793
6,649
12,630
7,399
8,383

